,Ticker,Last_Year_RD
22,ALGN,364202000.0
23,ON,612700000.0
33,JBL,39000000.0
37,SANM,28514000.0
40,AEIS,211834000.0
41,ALGM,176638000.0
46,WDC,1907000000.0
48,STX,654000000.0
51,THRM,88697000.0
61,ACMR,92709000.0
65,COMM,316200000.0
66,APP,638689000.0
69,AYI,102300000.0
72,LITE,302200000.0
73,PANW,1809400000.0
77,AMKR,162951000.0
82,KN,39500000.0
83,MELI,1934000000.0
85,AAPL,31370000000.0
88,FICO,171940000.0
92,LFUS,102429000.0
98,ST,169276000.0
103,GOLF,67841000.0
104,TEL,741000000.0
116,LVS,228000000.0
117,SWKS,631700000.0
119,ADI,1487863000.0
123,LYFT,397073000.0
129,AVGO,9310000000.0
137,PLTK,403000000.0
147,VTRS,808700000.0
153,MU,3430000000.0
163,TLRY,635000.0
165,WDAY,2464000000.0
168,CAT,2107000000.0
169,DOCU,539488000.0
173,REZI,111000000.0
177,BDX,1190000000.0
179,ETN,794000000.0
181,AVY,137800000.0
186,TEVA,998000000.0
192,LIN,150000000.0
202,PYPL,2979000000.0
206,GLW,1089000000.0
217,BHC,616000000.0
221,ICUI,88615000.0
225,UEIC,31281000.0
229,ZM,852415000.0
231,BSX,1615000000.0
234,CCCS,201493000.0
236,CARR,686000000.0
239,NXPI,2347000000.0
240,DIOD,134051000.0
241,COO,155100000.0
244,JNJ,17232000000.0
250,APD,100200000.0
258,FSLR,191375000.0
259,GEHC,1311000000.0
264,OTIS,152000000.0
270,DHR,1584000000.0
275,ZS,499828000.0
276,BYD,28572000.0
277,WAB,206000000.0
279,BDC,112365000.0
284,AGCO,493000000.0
290,IBM,7479000000.0
292,MSI,917000000.0
294,NSSC,10763000.0
296,OSIS,65275000.0
300,ENPH,201315000.0
304,HPE,2246000000.0
305,KLAC,1278981000.0
311,MPWR,263643000.0
314,UBER,3109000000.0
316,PFE,10822000000.0
319,TECH,96664000.0
325,HPQ,1640000000.0
330,BAX,590000000.0
332,DE,2290000000.0
335,MMSI,87466000.0
342,AMAT,3233000000.0
348,WFRD,123000000.0
