,Ticker,Company,CEO,Year,Market Cap,CEO Pay,Median Worker Pay,Pay Ratio,Rank
0,AAPL,Apple Inc.,Tim Cook,2023,3632944644096.0,63209845,94118,672:01:00,high
1,NVDA,Nvidia Corp.,Jen-Hsun Huang,2024,3048047902720.0,34167902,266939,128:01:00,high
2,MSFT,Microsoft Corp.,Satya Nadella,2023,2951215579136.0,48512537,193770,250:01:00,high
3,MSFT,Microsoft Corp.,Satya Nadella,2023,2951215579136.0,48512537,193770,250:01:00,high
4,AVGO,Broadcom Inc.,Hock Tan,2023,934800195584.0,161826161,317199,510:01:00,high
5,JPM,J.P. Morgan Chase & Co.,James Dimon,2023,739990503424.0,35093780,95988,366:01:00,high
6,XOM,Exxon Mobil Corp.,D. W. Woods,2023,483076472832.0,36919898,185376,199:01:00,high
7,NFLX,Netflix Inc.,Ted Sarandos,2023,419441410048.0,49834936,200761,248:01:00,high
8,TMUS,"T-Mobile US, Inc.",Michael Sievert,2023,307915882496.0,37488851,72004,521:01:00,high
9,CRM,"Salesforce, Inc.",Marc Benioff,2024,285042442240.0,39642173,164985,240:01:00,high
10,CSCO,"Cisco Systems, Inc.",Charles Robbins,2023,255048171520.0,31843708,119165,267:01:00,high
11,ACN,Accenture PLC,Julie Sweet,2023,217979781120.0,31550906,20670,"1,526:1",high
12,MS,Morgan Stanley,James Gorman,2023,214687793152.0,32951606,0,241:01:00,high
13,AXP,American Express Co.,S.J. Squeri,2023,211434012672.0,35676905,52680,677:01:00,high
14,PEP,Pepsico Inc.,Ramon Laguarta,2023,210484117504.0,33906212,52356,648:01:00,high
15,DIS,Walt Disney Co.,Robert A. Iger,2023,205726498816.0,31587166,54010,595:01:00,high
16,BX,Blackstone Inc.,Stephen Schwarzman,2023,196803772416.0,119784375,245000,489:01:00,high
17,NOW,"Servicenow, Inc.",William McDermott,2023,191983370240.0,37606244,214268,176:01:00,high
18,ADBE,Adobe Inc.,Shantanu Narayen,2023,190905171968.0,44932578,196336,229:01:00,high
19,BKNG,Booking Holdings Inc.,Glenn Fogel,2023,164601364480.0,46720734,92967,503:01:00,high
20,AMD,Advanced Micro Devices Inc.,Lisa T. Su,2023,161821130752.0,30348281,127642,238:01:00,high
21,UBER,"Uber Technologies, Inc.",Dara Khosrowshahi,2023,158785650688.0,24248209,83077,292:01:00,high
22,BLK,Blackrock Inc.,Laurence Fink,2023,151803281408.0,26939474,162300,166:01:00,high
23,C,Citigroup Inc.,Jane Fraser,2023,150664167424.0,25458313,70731,360:01:00,high
24,SCHW,Schwab Charles Corp.,Walter Bettinger II,2023,144233218048.0,23871744,117672,203:01:00,high
25,CMCSA,Comcast Corp.,Brian Roberts,2023,135663001600.0,35473666,0,398:01:00,high
26,BA,Boeing Co.,David Calhoun,2023,130985426944.0,32770519,119873,273:01:00,high
27,DE,Deere & Co.,John C. May,2023,130493145088.0,26722519,94247,284:01:00,high
28,AMAT,Applied Materials Inc.,Gary Dickerson,2023,128422559744.0,26854544,96883,277:01:00,high
29,PANW,Palo Alto Networks Inc.,Nikesh Arora,2023,126083694592.0,151425203,206035,735:01:00,high
30,KKR,Kkr & Co. Inc.,Joseph Bae,2023,125122584576.0,49959449,202500,240:01:00,high
31,NKE,"Nike, Inc.",John Donahoe II,2023,117487296512.0,32789885,33646,975:01:00,high
32,PLD,"Prologis, Inc.",Hamid Moghadam,2023,114856493056.0,50891597,127272,400:01:00,high
33,CB,Chubb Ltd.,Evan Greenberg,2023,114392981504.0,27661317,61188,452:01:00,high
34,ADI,Analog Devices Inc.,Vincent Roche,2023,114104238080.0,25543635,48425,527:01:00,high
35,MU,Micron Technology Inc.,Sanjay Mehrotra,2023,104319729664.0,25276953,54570,463:01:00,high
36,ICE,"Intercontinental Exchange, Inc.",Jeffrey Sprecher,2023,99531890688.0,27550872,133506,206:01:00,high
37,CRWD,"Crowdstrike Holdings, Inc.",George Kurtz,2024,95977545728.0,46983855,206034,177:01:00,high
38,KLAC,KLA Corp.,Richard Wallace,2023,94195621888.0,26644359,88831,300:01:00,high
39,AON,AON PLC,Gregory Case,2023,88370323456.0,23661834,88009,269:01:00,high
