,Ticker,Industry
0,ROST,Consumer Cyclical
1,KO,Consumer Defensive
2,CHTR,Communication Services
3,APTV,Consumer Cyclical
4,ACN,Technology
5,TJX,Consumer Cyclical
6,CMG,Consumer Cyclical
7,ALGN,Healthcare
8,ON,Technology
9,MCD,Consumer Cyclical
10,YUM,Consumer Cyclical
11,JBL,Technology
12,SBUX,Consumer Cyclical
13,WMT,Consumer Defensive
14,NKE,Consumer Cyclical
15,ULTA,Consumer Cyclical
16,WDC,Technology
17,RCL,Consumer Cyclical
18,STX,Technology
19,LULU,Consumer Cyclical
20,LYV,Communication Services
21,CCL,Consumer Cyclical
22,PANW,Technology
23,TGT,Consumer Defensive
24,AZO,Consumer Cyclical
25,AXP,Financial Services
26,AAPL,Technology
27,BG,Consumer Defensive
28,FICO,Technology
29,PEP,Consumer Defensive
30,APH,Technology
31,EL,Consumer Defensive
32,MDLZ,Consumer Defensive
33,DIS,Communication Services
34,TEL,Technology
35,CHRW,Industrials
36,CZR,Consumer Cyclical
37,LOW,Consumer Cyclical
38,CTSH,Technology
39,HLT,Consumer Cyclical
40,LVS,Consumer Cyclical
41,SWKS,Technology
42,ADI,Technology
43,TMUS,Communication Services
44,DG,Consumer Defensive
45,TSCO,Consumer Cyclical
46,AVGO,Technology
47,MAR,Consumer Cyclical
48,BKNG,Consumer Cyclical
49,KR,Consumer Defensive
50,TPR,Consumer Cyclical
51,BWA,Consumer Cyclical
52,BX,Financial Services
53,VTRS,Healthcare
54,RL,Consumer Cyclical
55,MU,Technology
56,STZ,Consumer Defensive
57,CB,Financial Services
58,SPGI,Financial Services
59,FIS,Technology
60,BBY,Consumer Cyclical
61,ROP,Technology
62,WDAY,Technology
63,UPS,Industrials
64,CAT,Industrials
65,TDG,Industrials
66,HD,Consumer Cyclical
67,BDX,Healthcare
68,WBA,Healthcare
69,ETN,Industrials
70,ETN,Industrials
71,AVY,Consumer Cyclical
72,PLD,Real Estate
73,CMCSA,Communication Services
74,CVS,Healthcare
75,LIN,Basic Materials
76,SHW,Basic Materials
77,EMR,Industrials
78,DRI,Consumer Cyclical
79,DRI,Consumer Cyclical
80,NCLH,Consumer Cyclical
81,PYPL,Financial Services
82,MGM,Consumer Cyclical
83,IRM,Real Estate
84,GLW,Technology
85,PM,Consumer Defensive
86,JPM,Financial Services
87,C,Financial Services
88,HSY,Consumer Defensive
89,HCA,Healthcare
90,MOS,Basic Materials
91,TT,Industrials
92,UNH,Healthcare
93,BSX,Healthcare
94,LW,Consumer Defensive
95,CARR,Industrials
96,CARR,Industrials
97,NXPI,Technology
98,COO,Healthcare
99,PG,Consumer Defensive
100,ITW,Industrials
101,JNJ,Healthcare
102,CL,Consumer Defensive
103,COST,Consumer Defensive
104,DAL,Industrials
105,APD,Basic Materials
106,SYF,Financial Services
107,AMT,Real Estate
108,FSLR,Technology
109,GEHC,Healthcare
110,WFC,Financial Services
111,OTIS,Industrials
