,Ticker,Company,CEO,Year,Market Cap,CEO Pay,Median Worker Pay,Pay Ratio,Rank
0,GOOG,Alphabet Inc.,Sundar Pichai,2023,2087788609536.0,8802824,304930,29:01:00,low
1,COST,Costco Wholesale,Craig Jelinek,2023,465476943872.0,16870623,50202,336:01:00,low
2,ORCL,Oracle Corp.,Safra Catz,2023,464463167488.0,5250680,85991,61:01:00,low
3,PG,Procter & Gamble Co,Jon Moeller,2023,407628709888.0,21715625,64024,339:01:00,low
4,HD,"Home Depot, Inc.",Edward Decker,2023,393967763456.0,14419252,35131,410:01:00,low
5,IBM,International Business Machines Corp.,A. Krishna,2023,234078519296.0,20398426,65463,312:01:00,low
6,MRK,"Merck & Co., Inc.",Robert Davis,2023,233027190784.0,20273287,110827,183:01:00,low
7,GE,General Electric Co.,Lawrence Culp,2023,222149558272.0,14698285,73038,201:01:00,low
8,LIN,Linde PLC,Sanjiv Lamba,2023,220873539584.0,19200255,49230,390:01:00,low
9,MCD,Mcdonalds Corp.,Christopher Kempczinski,2023,220289744896.0,19155001,15802,"1,212:1",low
10,TMO,Thermo Fisher Scientific Inc.,Marc Casper,2023,199555989504.0,18976669,72762,261:01:00,low
11,PLTR,Palantir Technologies Inc.,Alexander Karp,2023,199167950848.0,3498197,191630,18:01,low
12,VZ,Verizon Communications Inc.,Kyle Malady,2023,181438070784.0,10810203,143498,168:01:00,low
13,TXN,Texas Instruments Inc.,Richard Templeton,2023,178416173056.0,20892318,79577,272:01:00,low
14,RTX,Raytheon Technologies Corp.,Gregory Hayes,2023,177158651904.0,21929459,117236,187:01:00,low
15,PGR,Progressive Corp.,Susan Patricia Griffith,2023,165308399616.0,15636618,71672,218:01:00,low
16,SPGI,S&P Global Inc.,Douglas Peterson,2023,164285169664.0,19506412,43834,445:01:00,low
17,UNP,Union Pacific Corp.,Lance Fritz,2023,149071314944.0,15552576,137770,113:01:00,low
18,LOW,Lowes Companies Inc.,Marvin Ellison,2023,139238391808.0,18162272,32626,557:01:00,low
19,HON,Honeywell International Inc.,James Currier,2023,138361257984.0,4895383,80363,192:01:00,low
20,SBUX,Starbucks Corp.,Laxman Narasimhan,2023,131552051200.0,14604531,14209,"1,028:1",low
21,ADP,Automatic Data Processing Inc.,Maria Black,2023,128237600768.0,10682318,64996,197:01:00,low
22,MDT,Medtronic PLC,Geoffrey Martha,2023,118019325952.0,15394633,67073,230:01:00,low
23,ANET,"Arista Networks, Inc.",Jayshree Ullal,2023,117347221504.0,15561987,189124,82:01:00,low
24,INTC,Intel Corp.,Patrick P. Gelsinger,2023,102750896128.0,16855400,100100,168:01:00,low
25,LRCX,Lam Research Corp.,Timothy Archer,2023,98508070912.0,18310099,81126,226:01:00,low
