,Ticker,Company,Median Worker Pay,Pay RatioSort ascending
10,ROST,"Ross Stores, Inc.",8618,"2,100:1"
13,KO,Coca Cola Co.,13752,"1,799:1"
15,CHTR,"Charter Communications, Inc.",54476,"1,635:1"
16,APTV,Aptiv PLC,11647,"1,545:1"
17,ACN,Accenture PLC,20670,"1,526:1"
19,TJX,Tjx Companies Inc.,14857,"1,496:1"
20,CMG,Chipotle Mexican Grill Inc.,16595,"1,354:1"
22,ALGN,Align Technology Inc.,22781,"1,271:1"
23,ON,ON Semiconductor Corp.,141397,"1,268:1"
27,MCD,Mcdonalds Corp.,15802,"1,212:1"
28,YUM,Yum Brands Inc.,17628,"1,205:1"
33,JBL,Jabil Inc.,8804,"1,163:1"
38,SBUX,Starbucks Corp.,14209,"1,028:1"
43,WMT,Walmart Inc.,27642,976:01:00
44,NKE,"Nike, Inc.",33646,975:01:00
45,ULTA,"Ulta Beauty, Inc.",13193,960:01:00
46,WDC,Western Digital Corp.,11519,958:01:00
47,RCL,Royal Caribbean Cruises Ltd.,18073,953:01:00
48,STX,Seagate Technology Holdings PLC,12065,948:01:00
56,LULU,Lululemon Athletica Inc.,19518,845:01:00
58,LYV,"Live Nation Entertainment, Inc.",28207,831:01:00
59,CCL,Carnival Corp.,16789,822:01:00
73,PANW,Palo Alto Networks Inc.,206035,735:01:00
76,TGT,Target Corp.,26696,719:01:00
78,AZO,Autozone Inc.,26669,705:01:00
84,AXP,American Express Co.,52680,677:01:00
85,AAPL,Apple Inc.,94118,672:01:00
86,BG,Bunge Global SA,85513,655:01:00
88,FICO,Fair Isaac Corp.,101674,653:01:00
89,PEP,Pepsico Inc.,52356,648:01:00
90,APH,Amphenol Corp.,16944,646:01:00
91,EL,Estee Lauder Companies Inc.,33819,645:01:00
93,MDLZ,"Mondelez International, Inc.",33093,635:01:00
102,DIS,Walt Disney Co.,54010,595:01:00
104,TEL,TE Connectivity Ltd.,28447,588:01:00
107,CHRW,"C. H. Robinson Worldwide, Inc.",60720,572:01:00
110,CZR,"Caesars Entertainment, Inc.",33250,560:01:00
111,LOW,Lowes Companies Inc.,32626,557:01:00
112,CTSH,Cognizant Technology Solutions Corp.,40660,556:01:00
114,HLT,Hilton Worldwide Holdings Inc.,48435,549:01:00
116,LVS,Las Vegas Sands Corp.,41185,533:01:00
117,SWKS,"Skyworks Solutions, Inc.",32457,532:01:00
119,ADI,Analog Devices Inc.,48425,527:01:00
121,TMUS,"T-Mobile US, Inc.",72004,521:01:00
122,DG,Dollar General Corp.,18657,521:01:00
126,TSCO,Tractor Supply Co,22152,513:01:00
129,AVGO,Broadcom Inc.,317199,510:01:00
131,MAR,Marriott International Inc.,44805,506:01:00
133,BKNG,Booking Holdings Inc.,92967,503:01:00
134,KR,Kroger Co.,31302,502:01:00
138,TPR,"Tapestry, Inc.",29535,491:01:00
139,BWA,Borgwarner Inc.,39380,490:01:00
141,BX,Blackstone Inc.,245000,489:01:00
147,VTRS,Viatris Inc.,36903,469:01:00
152,RL,Ralph Lauren Corp.,31187,464:01:00
153,MU,Micron Technology Inc.,54570,463:01:00
154,STZ,"Constellation Brands, Inc.",34821,461:01:00
158,CB,Chubb Ltd.,61188,452:01:00
160,SPGI,S&P Global Inc.,43834,445:01:00
161,FIS,"Fidelity National Information Services, Inc.",43839,443:01:00
162,BBY,Best Buy CO Inc.,32656,442:01:00
164,ROP,Roper Technologies Inc.,93861,440:01:00
165,WDAY,"Workday, Inc.",233831,439:01:00
167,UPS,United Parcel Service Inc.,53669,436:01:00
168,CAT,Caterpillar Inc.,59528,434:01:00
174,TDG,Transdigm Group Inc.,58034,411:01:00
175,HD,"Home Depot, Inc.",35131,410:01:00
177,BDX,Becton Dickinson & Co.,42404,408:01:00
178,WBA,"Walgreens Boots Alliance, Inc.",34763,407:01:00
179,ETN,Eaton Corp PLC,50683,405:01:00
180,ETN,Eaton Corp PLC,50683,405:01:00
182,AVY,Avery Dennison Corp.,15679,403:01:00
184,PLD,"Prologis, Inc.",127272,400:01:00
186,CMCSA,Comcast Corp.,0,398:01:00
189,CVS,CVS Health Corp.,55237,392:01:00
193,LIN,Linde PLC,49230,390:01:00
196,SHW,Sherwin Williams Co.,49745,388:01:00
197,EMR,Emerson Electric Co.,47840,383:01:00
199,DRI,Darden Restaurants Inc.,22248,382:01:00
200,DRI,Darden Restaurants Inc.,22248,382:01:00
201,NCLH,Norwegian Cruise Line Holdings Ltd.,23330,380:01:00
204,PYPL,"Paypal Holdings, Inc.",94167,375:01:00
205,MGM,Mgm Resorts International,45502,374:01:00
206,IRM,Iron Mountain Inc.,40174,371:01:00
208,GLW,Corning,42240,370:01:00
209,PM,Philip Morris International Inc.,60974,369:01:00
211,JPM,J.P. Morgan Chase & Co.,95988,366:01:00
216,C,Citigroup Inc.,70731,360:01:00
217,HSY,Hershey Co.,43527,360:01:00
222,HCA,"Hca Healthcare, Inc.",59816,356:01:00
224,MOS,Mosaic Co.,33404,356:01:00
226,TT,Trane Technologies PLC,64148,356:01:00
230,UNH,UnitedHealth Group Inc.,66821,352:01:00
233,BSX,Boston Scientific Corp.,54147,346:01:00
237,LW,"Lamb Weston Holdings, Inc.",59285,343:01:00
238,CARR,Carrier Global Corp.,51614,343:01:00
240,CARR,Carrier Global Corp.,51614,343:01:00
