Ticker,Company,CEO,Year,Market Cap,CEO Pay,Median Worker Pay,Pay Ratio,Rank,Industry
AAPL,Apple Inc.,Tim Cook,2023,3632944644096.0,63209845,94118,672:01:00,high,Technology
NVDA,Nvidia Corp.,Jen-Hsun Huang,2024,3048047902720.0,34167902,266939,128:01:00,high,Technology
MSFT,Microsoft Corp.,Satya Nadella,2023,2951215579136.0,48512537,193770,250:01:00,high,Technology
AVGO,Broadcom Inc.,Hock Tan,2023,934800195584.0,161826161,317199,510:01:00,high,Technology
CRM,"Salesforce, Inc.",Marc Benioff,2024,285042442240.0,39642173,164985,240:01:00,high,Technology
CSCO,"Cisco Systems, Inc.",Charles Robbins,2023,255048171520.0,31843708,119165,267:01:00,high,Technology
ACN,Accenture PLC,Julie Sweet,2023,217979781120.0,31550906,20670,"1,526:1",high,Technology
NOW,"Servicenow, Inc.",William McDermott,2023,191983370240.0,37606244,214268,176:01:00,high,Technology
ADBE,Adobe Inc.,Shantanu Narayen,2023,190905171968.0,44932578,196336,229:01:00,high,Technology
AMD,Advanced Micro Devices Inc.,Lisa T. Su,2023,161821130752.0,30348281,127642,238:01:00,high,Technology
UBER,"Uber Technologies, Inc.",Dara Khosrowshahi,2023,158785650688.0,24248209,83077,292:01:00,high,Technology
AMAT,Applied Materials Inc.,Gary Dickerson,2023,128422559744.0,26854544,96883,277:01:00,high,Technology
PANW,Palo Alto Networks Inc.,Nikesh Arora,2023,126083694592.0,151425203,206035,735:01:00,high,Technology
ADI,Analog Devices Inc.,Vincent Roche,2023,114104238080.0,25543635,48425,527:01:00,high,Technology
MU,Micron Technology Inc.,Sanjay Mehrotra,2023,104319729664.0,25276953,54570,463:01:00,high,Technology
CRWD,"Crowdstrike Holdings, Inc.",George Kurtz,2024,95977545728.0,46983855,206034,177:01:00,high,Technology
KLAC,KLA Corp.,Richard Wallace,2023,94195621888.0,26644359,88831,300:01:00,high,Technology
MSI,"Motorola Solutions, Inc.",Gregory Brown,2023,73489006592.0,28178498,90726,311:01:00,high,Technology
ROP,Roper Technologies Inc.,Neil Hunn,2023,62766530560.0,41295585,93861,440:01:00,high,Technology
NXPI,NXP Semiconductors N.v.,Kurt Sievers,2023,54677934080.0,21123742,62028,341:01:00,high,Technology
FICO,Fair Isaac Corp.,William Lansing,2023,46061080576.0,66349962,101674,653:01:00,high,Technology
CTSH,Cognizant Technology Solutions Corp.,Ravi Kumar Current,2023,41216352256.0,22563405,40660,556:01:00,high,Technology
FIS,"Fidelity National Information Services, Inc.",Stephanie L. Ferris,2023,37671698432.0,19435522,43839,443:01:00,high,Technology
ANSS,Ansys Inc.,Ajei Gopal,2023,29209962496.0,24633791,117169,210:01:00,high,Technology
HPQ,HP Inc.,Enrique Lores,2023,29109948416.0,19458431,67816,287:01:00,high,Technology
FTV,Fortive Corp.,James Lico,2023,27066664960.0,17659164,77370,230:01:00,high,Technology
HPE,Hewlett Packard Enterprise Co,Antonio Neri,2023,26018652160.0,20066549,66816,300:01:00,high,Technology
GDDY,Godaddy Inc.,Aman Bhutani,2023,25373401088.0,15877217,106590,149:01:00,high,Technology
ON,ON Semiconductor Corp.,Hassane El-Khoury,2023,19827857408.0,19965513,141397,"1,268:1",high,Technology
PTC,PTC Inc.,James Heppelmann,2023,19688615936.0,15617171,82574,189:01:00,high,Technology
TRMB,Trimble Inc.,Robert Painter,2023,17692108800.0,14954642,83971,178:01:00,high,Technology
